name,x,y
LOCKb2014b_000292,963.658,210.487
LOCKb2014b_000292,539.51,187.028
LOCKb2014b_000292,589.04,297.8135
LOCKb2014b_000292,558.445,182.786
LOCKb2014b_000292,459.426,575.225
LOCKb2014b_000292,181.286,590.132
LOCKb2014b_000292,335.974,319.991
LOCKb2014b_000292,51.772,260.93
LOCKb2014b_000292,611.205,294.078
LOCKb2014b_000292,842.6995,214.4505
LOCKb2014b_000292,862.33,207.738
LOCKb2014b_000292,218.787,580.568
LOCKb2014b_000292,477.876,200.236
LOCKb2014b_000292,355.748,311.475
LOCKb2014b_000292,29.7615,272.727
LOCKb2014b_000292,64.468,266.12
LOCKb2014b_000292,724.18,593.093
LOCKb2014b_000292,432.2015,581.738
LOCKb2014b_000293,730.601,591.679
LOCKb2014b_000293,487.867,195.1165
LOCKb2014b_000293,471.977,204.3505
LOCKb2014b_000293,861.285,207.855
LOCKb2014b_000293,542.047,184.0955
LOCKb2014b_000293,65.0065,265.2845
LOCKb2014b_000293,844.496,214.3125
LOCKb2014b_000293,31.254,277.6645
LOCKb2014b_000293,172.769,590.637
LOCKb2014b_000293,560.5775,182.211
LOCKb2014b_000293,440.106,580.085
LOCKb2014b_000293,462.16,571.6475
LOCKb2014b_000293,328.4285,383.9695
LOCKb2014b_000293,214.778,577.876
LOCKb2014b_000293,734.962,241.1695
LOCKb2014b_000294,989.404,203.72
LOCKb2014b_000294,359.025,311.204
LOCKb2014b_000294,555.662,180.08
LOCKb2014b_000294,729.901,235.5275
LOCKb2014b_000294,843.891,213.786
LOCKb2014b_000294,317.928,384.2255
LOCKb2014b_000294,781.453,170.929
LOCKb2014b_000294,180.2705,588.2045
LOCKb2014b_000294,469.928,200.921
LOCKb2014b_000294,55.53,273.175
LOCKb2014b_000294,540.571,186.027
LOCKb2014b_000294,436.551,581.642
LOCKb2014b_000294,976.733,213.74
LOCKb2014b_000294,212.4545,580.7265
LOCKb2014b_000295,483.2145,197.1895
LOCKb2014b_000295,459.054,568.282
LOCKb2014b_000295,777.171,168.847
LOCKb2014b_000295,355.399,308.056
LOCKb2014b_000295,468.368,202.083
LOCKb2014b_000295,535.064,184.887
LOCKb2014b_000295,844.899,216.643
LOCKb2014b_000295,210.745,575.558
LOCKb2014b_000295,177.4315,581.6255
LOCKb2014b_000295,595.413,295.8395
LOCKb2014b_000295,715.598,587.962
LOCKb2014b_000295,435.711,575.763
LOCKb2014b_000295,327.196,315.296
LOCKb2014b_000295,736.228,236.299
LOCKb2014b_000295,558.845,179.838
LOCKb2014b_000295,60.397,269.498
LOCKb2014b_000296,862.397,205.932
LOCKb2014b_000296,785.4625,171.697
LOCKb2014b_000296,555.863,179.838
LOCKb2014b_000296,328.3175,386.119
LOCKb2014b_000296,735.11,238.816
LOCKb2014b_000296,843.527,215.072
LOCKb2014b_000296,487.701,198.258
LOCKb2014b_000296,446.428,574.729
LOCKb2014b_000296,594.031,295.803
LOCKb2014b_000296,352.717,314.4885
LOCKb2014b_000296,26.635,273.349
LOCKb2014b_000296,470.685,203.4235
LOCKb2014b_000296,538.0955,185.37
LOCKb2014b_000296,979.31,206.5405
LOCKb2014b_000296,166.7935,583.545
LOCKb2014b_000296,55.5535,272.0175
LOCKb2014b_000296,212.539,575.815
LOCKb2014b_000297,322.558,390.65
LOCKb2014b_000297,455.2845,567.135
LOCKb2014b_000297,555.068,183.673
LOCKb2014b_000297,778.1035,167.8625
LOCKb2014b_000297,977.3285,213.5825
LOCKb2014b_000297,994.117,211.176
LOCKb2014b_000297,35.391,274.027
LOCKb2014b_000297,57.853,267.874
LOCKb2014b_000297,470.906,207.049
LOCKb2014b_000297,487.408,202.5515
LOCKb2014b_000297,725.507,591.063
LOCKb2014b_000297,179.1095,588.169
LOCKb2014b_000297,332.5745,322.1035
LOCKb2014b_000297,533.174,190.914
LOCKb2014b_000297,861.104,214.04
LOCKb2014b_000297,729.021,238.7745
LOCKb2014b_000297,354.228,318.605
LOCKb2014b_000297,212.194,574.644
LOCKb2014b_000297,431.162,577.288
LOCKb2014b_000297,846.36,216.824
LOCKb2014b_000298,720.723,237.528
LOCKb2014b_000298,331.579,387.351
